,,SDE,SDE,SDE,SDE,SDE,SDE,SDE,SDE,SDE,SDE,SDE,SDE,SDE,SDE
,,Bennet,Biden,Bloomberg,Buttigieg,Delaney,Gabbard,Klobuchar,Patrick,Sanders,Steyer,Warren,Yang,Other,Uncommitted
Buena Vista,STORM LAKE 04,0,0.2,0.0,0.4,0,0.0,0.4,0,0.4,0.0,0.2,0.0,0.0,0.0
Buena Vista,TRUESDALE WASHINGTON GRANT,0,0.2,0.0,0.0,0,0.0,0.2,0,0.0,0.0,0.0,0.0,0.0,0.0
Butler,1-GR,0,0.2333,0.0,0.2333,0,0.0,0.35,0,0.2333,0.0,0.1167,0.0,0.0,0.0
Butler,2-CL,0,0.2333,0.0,0.0,0,0.0,0.35,0,0.35,0.0,0.35,0.0,0.0,0.0
Butler,3-DU,0,0.0,0.0,0.0,0,0.0,0.0,0,0.2333,0.0,0.2333,0.0,0.0,0.0
Butler,4-AL,0,0.1167,0.0,0.1167,0,0.0,0.0,0,0.1167,0.0,0.0,0.1167,0.0,0.0
Butler,5-AP,0,0.1167,0.0,0.2333,0,0.0,0.0,0,0.1167,0.0,0.1167,0.0,0.0,0.0
Butler,6-SR,0,0.2333,0.0,0.2333,0,0.0,0.2333,0,0.35,0.0,0.2333,0.0,0.0,0.0
Butler,7-PB,0,0.2333,0.0,0.2333,0,0.0,0.2333,0,0.2333,0.0,0.2333,0.0,0.0,0.0
Butler,8-NH,0,0.2333,0.0,0.2333,0,0.0,0.0,0,0.1167,0.0,0.0,0.0,0.0,0.0
CD2 Satellite,"Albia, IA - Monroe Care Center",0,0.0,0.0,0.0,0,0.0,0.0,0,0.0117,0.0,0.0,0.0,0.0,0.0
CD2 Satellite,"Centerville, IA - Centerville Speciality Care",0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
CD2 Satellite,"Davenport, IA - Humility of Mary Center",0,0.0525,0.0,0.0,0,0.0,0.105,0,0.0,0.0,0.0525,0.0,0.0,0.0
CD2 Satellite,"Davenport, IA - Scott Community College",0,0.0,0.0,0.0,0,0.0,0.1116,0,0.6699,0.0,0.0,0.0,0.0,0.0
CD2 Satellite,"Ft. Madison, IA - LULAC Club",0,0.0,0.0,0.0,0,0.0,0.0,0,0.0817,0.0,0.0,0.0,0.0,0.0
CD2 Satellite,"Iowa City, IA - Caring Hands and More",0,0.0,0.0,0.0,0,0.0,0.0,0,1.2831,0.0,0.0,0.0,0.0,0.0
